: 1585658952:0;gem install lscolors
: 1651065905:0;cd .hyper_plugins
: 1651066002:0;v .hyper.js
: 1651067088:0;hyper i hyper-chesterish
: 1651067594:0;rm .hyper.js
: 1651086305:0;brew install --cask hyper
: 1651086782:0;g add -m "ADDED: Vim. This is a legacy version but can quikly be symlinked to the home directory if nvim fails"
: 1651086955:0;g add Boostrap
: 1651087016:0;g commit -m "ADDED: Boostrap installer script. Symlinks all files without a filetype or preceeding dot."
: 1651087254:0;g commit -M "README.md"
: 1651087283:0;g commit -m "ADDED: README"
: 1651087362:0;g commit -m "ADDED: .pryrc resource file."
: 1651087378:0;g add prettuerrc
: 1651087409:0;g commit -m "ADDED: Prettier resource file"
: 1651087765:0;v known_hosts.old
: 1651087801:0;rm -Rf ssh-example
: 1651088317:0;g add -m "ADDED: Vim. This is a legacy version but can quikly be symlinked to the home directory if nvim fails"..9763
: 1651088365:0;9735..9763
: 1651088500:0;g commit -m "ADDED: zsh resource files. Basic resource .zshrc, Env Variables .zshenv and all aliases .zsh_aliases"
: 1651088961:0;git add vim
: 1651088974:0;g commit -m "ADDED: Vim. This is a legacy version but can quikly be symlinked to the home directory if nvim fails"
: 1651089010:0;g commit -m "ADDED: zsh directory"
: 1651089105:0;g commit -m "ADDED: pry and prittier resource files"
: 1651089156:0;g commit -m "ADDED: pry resource file"
: 1651089248:0;g add bin
: 1651089278:0;g commit -m "ADDED: bin contains user local scripts"
: 1651089361:0;g commit -m "ADDED: Bootstrap. The script symlinks all files without a filetype or preceeding . to the home directory."
: 1651089423:0;g add prettierrc.json
: 1651089440:0;g commit -m "ADDED: Prettyier resource file"
: 1651089535:0;g commit -m "ADDED: gitignore file"
: 1651089575:0;g commit-m "ADDED: gemrc file"
: 1651089586:0;g commit -m "ADDED: gemrc file"
: 1651089871:0;g commit -m "ADDED: submodules for vim and zsh"
: 1651090243:0;g add vim/**
: 1651090298:0;g commit -m "REMOVING: the vim directory. Submodules may have needed to be added first."
: 1651090396:0;g commit -m "ADDED: Vim directory"
: 1651090935:0;cd nerdtree
: 1651091325:0;h G "git submodle add"
: 1651091335:0;h G "git submodule add"
: 1651091609:0;t .gitmodules
: 1651091660:0;cd .git/refs
: 1651091705:0;cd hooks
: 1651091740:0;cd logs
: 1651091876:0;cd objects/pack
: 1651091912:0;rm -Rf vim
: 1651091946:0;g adcm "REMOVED: vim directory."
: 1651091966:0;g acm "REMOVED: vim directory."
: 1651092152:0;cd /bin/zsh
: 1651092163:0;cd /bin
: 1651092190:0;cd usr
: 1651092226:0;cd 5.8
: 1651093144:0;g checkout 38e7bbc
: 1651093248:0;h G module
: 1651093686:0;g commit -m "ADDED: removed vim directory but kept the vimrc file"
: 1651093754:0;git push origin HEAD:master
: 1651113190:0;mkd vim
: 1651113259:0;v ~/.dotfiles/.gitmodules
: 1651113317:0;cat ~/.dotfiles/.gitmodules
: 1651113335:0;mkdir -p pack/myplugins/start/
: 1651113665:0;mv .gitmodules .gitmod-backup
: 1651113789:0;git submodule add vim/pack/myplugins/start/git@github.com:kien/ctrlp.vim.git
: 1651113960:0;h G submodul
: 1651114095:0;git submodule add git@github.com:kien/ctrlp.vim.git
: 1651114259:0;git submodule add git@github.com:vim-airline/vim-airline.git
: 1651114310:0;git submodule add git@github.com:altercation/vim-colors-solarized.gi
: 1651114334:0;git submodule add git@github.com:altercation/vim-colors-solarized.git
: 1651114437:0;git submodule add git@github.com:preservim/nerdtree.git
: 1651114590:0;g commit -m "ADDED: vim directory. This is a fallback directory with some submodules inside to quikly initialise if neovim falls over"
: 1651115052:0;g commit -m "ADDED: This file contains aliases"
: 1651115241:0;cd .dotfiles-backup
: 1651115465:0;rm -Rf .dotfiles-backup
: 1651115561:0;git config --global user.name "shadow-the-wise"
: 1651115645:0;git config --global user.email shadow.the.wise.wise@gmail.com
: 1651116010:0;ccd config/nvim
: 1651116430:0;g commit -m "ADDED: Enviroment Variables file"
: 1651116477:0;g commit -m "ADDED: resource file for zsh"
: 1651116669:0;g commit -m "ADDED: Bootstrap script. Symlinks all files without a filetype or preceeding dot into the HOME dir"
: 1651116781:0;g commit -m "ADDED: resource file for pry runtime developer console"
: 1651116962:0;g commit -m "ADDED: Dotfiles Git ignore file"
: 1651117376:0;g commit -m "ADDED: resource file for gems"
: 1651118062:0;cp vimrc ~/.vimrc
: 1651118226:0;cp vim ~/.vim
: 1651118864:0;v .vim
: 1651118936:0;rm -Rf .vim
: 1651119019:0;cd .dotfiles/vim
: 1651119102:0;v .gitmod-backup
: 1651119305:0;mkdir backup
: 1651119323:0;mkdir undo
: 1651120180:0;v thor.vim
: 1651120323:0;g add "zsh/**"
: 1651120382:0;g add "vim/**"
: 1651120514:0;g commit -m "ADDED: vim abbreviation. Common colors. Dictionary file. And syntax highlight for ctrl-p and markdown files."
: 1651120748:0;rm .gitmodules
: 1651121034:0;git submodule init
: 1651121156:0;git submodule update --remote
: 1651122838:0;rm -Rf dotfiles
: 1651122879:0;rm .gitmod-backup
: 1651122953:0;g acm "ADDED: README.md - this has been left as the wiki will handle most of the information"
: 1651124531:0;rm -Rf lib
: 1651124587:0;v f
: 1651125222:0;brew install zsh
: 1651126131:0;brew info hyper
: 1651126149:0;brew info google-chrome
: 1651126220:0;brew info $(brew list) | sed '/==> Caveats/,/==>/!d;//d'
: 1651127302:0;brew info zsh | sed '/==> Caveats/,/==>/!d;//d'
: 1651127322:0;brew info google-chrome | sed '/==> Caveats/,/==>/!d;//d'
: 1651127339:0;brew info yt-dlp | sed '/==> Caveats/,/==>/!d;//d'
: 1651127357:0;brew info yt-dlp
: 1651127469:0;run help
: 1651127475:0;run help zsh
: 1651127481:0;zsh run help
: 1651127508:0;which zsh
: 1651127691:0;brew install zsh-autosuggestions
: 1651128395:0;brew install zsh-syntax-highlighting
: 1651128611:0;h G brew T
: 1651128786:0;brew search zsh-autocomplete
: 1651129324:0;brew info zsh
: 1651129346:0;/usr/local/Cellar/zsh -version
: 1651129359:0;zsh -v
: 1651129369:0;zsh --version
: 1651129393:0;brew uninstall zsh
: 1651129423:0;h G brew
: 1651129725:0;brew search zsh
: 1651130474:0;g add zsh/themes/shadow-theme/shadow.terminal
: 1651130482:0;g add zsh/themes/shadow-theme/solarized.itermcolors
: 1651130525:0;g commit -m "ADDED: terminal profile settings and color theme"
: 1651130605:0;g unstage zsh/README.md
: 1651130649:0;g commit -m "zsh personal functions aded to the fpath"
: 1651130971:0;g commit -m "gem resource file. will make sure all gems are documented."
: 1651131004:0;g add vimrc
: 1651131016:0;g commit -m "ADDED: vimrc"
: 1651131051:0;g add vim/custom-dictionary.utf-8.add.spl
: 1651131188:0;g commit -m "ADDED: custom-dictionary .spl - generated via custom-dictionary.add"
: 1651134574:0;v gitconfig
: 1651137275:0;rm -Rf mpv
: 1651137614:0;g commit -m "ADDED: plug.vim Plugin loader file"
: 1651137624:0;g add config/nvim/init.vim
: 1651137669:0;g commit -m "ADDED: init.vim. Neo vim resource file"
: 1651137775:0;g commit -m "ADDED: .gitignore. This is used to stop other directories from being added. Example: plugins with other repos in them"
: 1651137959:0;g add config/nvim/.gitignore
: 1651138016:0;g commit -m "MODIFIED: added autoload to the ignore file. This can be dowloaded via the plug.vim file and created"
: 1651138470:0;v prettierrc.json
: 1651138657:0;rm -Rf .sass-cache
: 1651138864:0;v config.py
: 1651138935:0;mkd themes
: 1651138946:0;v base16-gruvbox-dark-hard.py
: 1651139012:0;mkd scss
: 1651139051:0;rm -Rf css
: 1651139061:0;mkdir css
: 1651139239:0;g add qutebrowser
: 1651139271:0;g unstage"\
"
: 1651139291:0;g add qutebrowser/config.py
: 1651139347:0;g commit -m "ADDED: config file for the qutebrowser"
: 1651139362:0;g add qutebrowser/themes/base16-gruvbox-dark-hard.py
: 1651139383:0;g commit -m "ADDED: gruv box theme for qutebrowser"
: 1651139402:0;v quickmarks
: 1651139461:0;g add qutebrowser/quickmarks
: 1651139487:0;g commit -m "ADDED: qutebrowser quikmarks - better bookmarks"
: 1651139614:0;rm README.md
: 1651140950:0;brew info nvim
: 1651141014:0;/usr/local/share
: 1651141088:0;cd zsh
: 1651141092:0;cd site-functions
: 1651142520:0;g add config/nvim/colors/
: 1651142583:0;g commit -m "ADDED: colors directory. contains colors for completion box, hop highlight and other asthetic colors."
: 1651142887:0;brew node
: 1651142893:0;brew search node
: 1651142960:0;hyper
: 1651143006:0;g rubygems
: 1651143013:0;f rubygems
: 1651143259:0;brew uninstall hyper
: 1651144190:0;where iterm2
: 1651144202:0;h G where
: 1651144237:0;h G ^w
: 1651144257:0;h G "^w"
: 1651144282:0;which iterm2
: 1651144289:0;which iterm
: 1651144292:0;which iterm.app
: 1651145551:0;brew search node16.15.0
: 1651145570:0;brew install node@16
: 1651148360:0;v .zshen
: 1651148603:0;which nvim
: 1651148960:0;rm -Rf .hyper.js
: 1651148969:0;rm -Rf .hyper_plugins
: 1651150205:0;rm init.vim
: 1651153279:0;which nvm
: 1651153384:0;which npm
: 1651153454:0;npm search prettier
: 1651154377:0;cd assets/stylesheets/pages.scss
: 1651154385:0;v assets/stylesheets/pages.scss
: 1651154418:0;cd assets/stylesheets/
: 1651155426:0;gem list G bundler
: 1651155909:0;v user.rb
: 1651158301:0;g commit -m "ADDED: coc plugins installer"
: 1651158379:0;g add config/nvim/coc-settings.json
: 1651158409:0;g commit -m "ADDED: coc settings"
: 1651158415:0;g sy
: 1651197910:0;bundle install
: 1651197987:0;rubocop --help
: 1651198743:0;ruby -v
: 1651199023:0;rubocop --format offenses
: 1651199239:0;rubocop --format json
: 1651200741:0;mkd rubocop
: 1651202583:0;v package.json
: 1651202740:0;cd syntax
: 1651202772:0;v snippets_snipmate.vim
: 1651202833:0;cd nvim/plugged
: 1651202883:0;cd coc-snippets
: 1651203163:0;v ultisnips.py
: 1651203201:0;cd python
: 1651203220:0;v index.js
: 1651203248:0;cd ftplugin
: 1651204991:0;python3 --help
: 1651205111:0;brew info python
: 1651205419:0;python3.10 --help
: 1651205430:0;which python
: 1651205435:0;which python3.10
: 1651205440:0;which python3
: 1651206592:0;pip3 install neovim
: 1651206764:0;cd /Users/shadowchaser/Library/Caches/pip/wheels/c5/5d/ff/
: 1651206874:0;rm fd1783c0b0171c71a215b850251e36f3a70d97cead8cd86de8
: 1651206880:0;cd fd1783c0b0171c71a215b850251e36f3a70d97cead8cd86de8
: 1651206905:0;rm -Rf fd1783c0b0171c71a215b850251e36f3a70d97cead8cd86de8
: 1651206948:0;/Users/shadowchaser/Library/Caches/pip/wheels/18/ca/58/
: 1651206990:0;rm -Rf bf4480c53a36847b3345cbcfa50190beb6f1325ba45d721e26
: 1651207039:0;pip3 install --user neovim
: 1651208758:0;pip3 uninstall --user neovim
: 1651208839:0;pip3 uninstall neovim --user
: 1651209034:0;pip3 uninstall neovim
: 1651209063:0;pip3 uninstall greenlet
: 1651209158:0;pip3 uninstall pynvim
: 1651209184:0;pip3 uninstall msgpack
: 1651209198:0;pip3 list
: 1651209288:0;pip3.10 install --user neovim
: 1651209522:0;pip3.10
: 1651214724:0;g add config/rubocop/
: 1651214760:0;g commit -m "rubocop global settings. If no per project specified it defaults to this"
: 1651216503:0;v defualt.yml
: 1651216577:0;vimdiff config.yml defualt.yml
: 1651218070:0;cd ~/Code/Ruby/
: 1651218287:0;mkd git
: 1651218306:0;mkd git_template
: 1651218324:0;v ctags
: 1651218358:0;v post-checkout
: 1651218382:0;v post-commit
: 1651218405:0;v post-merge
: 1651218426:0;v post-rewrite
: 1651218468:0;v git_global
: 1651218594:0;mkd yt-dlp
: 1651218774:0;cd Projects/don-wan/app/models
: 1651218841:0;cd /Users/shadowchaser/.config/nvim/plugged/vim-snippets/snippets/
: 1651218864:0;v scss.snippets
: 1651218889:0;v css.snippets
: 1651219112:0;mkd yamllint
: 1651219296:0;v ignore.vim
: 1651219343:0;v ruby.vim
: 1651219810:0;g add config/git/
: 1651219830:0;g unstage config/git/gitignore_global
: 1651219860:0;g commit -m "git hoocks for ctags"
: 1651219927:0;g commit -m "global gitignore file"
: 1651220085:0;g commit -m "mapping for the hop pluggin"
: 1651220149:0;g commit -m "ADDED: yt-dlp config"
: 1651220406:0;g add config/rubocop/defualt.yml
: 1651220559:0;g commit -m "ADDED: Global rubocop yaml"
: 1651220595:0;g show ab111e5
: 1651220917:0;g commit -m "ADDED: yaml config file"
: 1651221052:0;g add config/nvim/ftdetect/
: 1651221074:0;g add config/nvim/ftdetect/gitcommit.vim
: 1651221113:0;g commit -m "ADDED: add file type to git commits and set spell"
: 1651221123:0;g add config/nvim/ftdetect/ignore.vim
: 1651221156:0;g commit -m "ADDED: add file type to ignorefiles"
: 1651221167:0;g add config/nvim/ftdetect/markdown.vim
: 1651221213:0;g commit -m "ADDED: markdown formatting and filetypes for text md and markdown"
: 1651221236:0;cat config/nvim/ftdetect/ruby.vim
: 1651221282:0;cat config/nvim/ftdetect/text.vim
: 1651221299:0;g add config/nvim/ftdetect/text.vim
: 1651221399:0;cd config/nvim/ftdetect/text.vim
: 1651221403:0;config/nvim/ftdetect/
: 1651221407:0;rm text.vim
: 1651221410:0;rm ruby.vim
: 1651221940:0;mkd tester
: 1651221945:0;git remote add origin git@github.com:shadow-the-wise/tester.git
: 1651222146:0;g add README.me
: 1651222153:0;g commit -m "new"
: 1651233449:0;cd .ssh
: 1651233475:0;v known_hosts
: 1651233495:0;v id_rsa
: 1651233505:0;v id_rsa.pub
: 1651233601:0;v README.me
: 1651233616:0;g acm "README.md"
: 1651233673:0;g acm "README"
: 1651233760:0;g status -s
: 1651234061:0;g uncomit
: 1651234100:0;g comm -m "READE"
: 1651234109:0;g commt -m "READE"
: 1651239688:0;git bc
: 1651239812:0;g bc
: 1651244540:0;g l -1
: 1651244676:0;g last
: 1651244739:0;g first
: 1651245032:0;man tail
: 1651248854:0;git aliases
: 1651249315:0;g root
: 1651289481:0;h G ri
: 1651290805:0;rdoc --help
: 1651293067:0;mkd pack/myplugins/start
: 1651293475:0;git submodule add git@github.com:overcache/NeoSolarized.git
: 1651293540:0;h t
: 1651293841:0;mv plug.vim plug--moved
: 1651293908:0;mv plugged plugged--moved
: 1651293995:0;cd pack/myplugins/start
: 1651294202:0;git submodule add git@github.com:rhysd/clever-f.vim.git
: 1651294392:0;git submodule add git@github.com:phaazon/hop.nvim.git
: 1651294512:0;git submodule add git@github.com:Yggdroot/indentLine.git
: 1651294599:0;git submodule add git@github.com:tpope/vim-fugitive.git
: 1651294653:0;git submodule add git@github.com:airblade/vim-gitgutter.git
: 1651295509:0;cd hop.nvim
: 1651295522:0;v doc/hop.txt
: 1651296140:0;cd doc
: 1651296200:0;cd NeoSolarized/doc
: 1651296207:0;cd NeoSolarized
: 1651296228:0;cd clever-f.vim/doc
: 1651299848:0;cd vim-gitgutter/doc
: 1651299883:0;cd vim-fugitive/doc
: 1651299986:0;cd indentLine/doc
: 1651300048:0;cd plugged--moved
: 1651300272:0;git submodule add git@github.com:neoclide/coc.nvim.git
: 1651300428:0;cd coc.nvim/doc
: 1651300674:0;g co release
: 1651300812:0;cd myplugins
: 1651300817:0;cd start
: 1651300891:0;g submodule add git@github.com:honza/vim-snippets.git
: 1651300938:0;cd vim-snippets/doc
: 1651300944:0;cd vim-snippets
: 1651301212:0;git submodule add git@github.com:nvim-lualine/lualine.nvim.git
: 1651301245:0;cd lualine.nvim/doc
: 1651302208:0;rm -Rf plugged--moved
: 1651302218:0;rm plug--moved
: 1651302313:0;rm plug.vim
: 1651302338:0;rm -Rf autoload
: 1651302625:0;g add pack/
: 1651303178:0;g commit -m "ADDED: nvim pluggin managment system"
: 1651303675:0;git submodule update
: 1651303767:0;cd .git
: 1651303777:0;cd refs
: 1651303786:0;cd heads
: 1651303794:0;cd remotes
: 1651303800:0;cd origin
: 1651303810:0;cd tags
: 1651303829:0;cd pack
: 1651303860:0;v packed-refs
: 1651303870:0;v HEAD
: 1651303899:0;v index
: 1651303962:0;g co bc371c3
: 1651304026:0;git submodule update --init --recursive -j 8
: 1651304165:0;cd vim/pack/myplugins/start/
: 1651304168:0;cd ctrlp.vim
: 1651304236:0;g add .gitmodules
: 1651304271:0;g commit -m "ADDED: nvim submodules"
: 1651304340:0;g add config/nvim/plug.vim
: 1651304377:0;g commit -m "REMOVED: plug.vim package managment"
: 1651305576:0;g co a6167f9
: 1651305797:0;g co 3ac9aab
: 1651305909:0;g show bc371c3
: 1651306198:0;g show 0735aed
: 1651306252:0;g show 818682c
: 1651306300:0;g show b748f31
: 1651306692:0;g show df78f49
: 1651306731:0;g reflog
: 1651306942:0;g show 0f3d630
: 1651307045:0;g co eb18f4a
: 1651307330:0;git clone git@github.com:shadow-the-wise/dotfiles.git
: 1651307399:0;cd dotfiles/config/nvim
: 1651307468:0;mkd ~/.dotfiles
: 1651307484:0;rm -Rf .dotfiles
: 1651307495:0;mkd .dotfiles
: 1651307533:0;mv .gitignore ~/.dotfiles/.gitignore
: 1651307549:0;cat .gitignore
: 1651307663:0;g commit -m "ADDED: DOFILES CREATION with a .gitignore"
: 1651307870:0;mv .gitignore ~/Scratch/.gitignore
: 1651307908:0;t README.md
: 1651307971:0;g commited -m "ADDED: DOTFILES CREATION"
: 1651307986:0;g commit -m "ADDED: DOTFILES CREATION"
: 1651308051:0;git remote add origin git@github.com:shadow-the-wise/dotfiles.git
: 1651308149:0;rm .config
: 1651308161:0;rm .gemrc
: 1651308202:0;mkd .config
: 1651308213:0;mkd nvim
: 1651308276:0;mv .config ~/.dotfiles/config
: 1651308310:0;ln -s -i -v ~/.dotfiles/config ~/.config
: 1651308350:0;g add config
: 1651308409:0;g commit -m "ADDED: Created config directory, nvmim directory and nvim README.md"
: 1651308467:0;mkd .vim
: 1651308553:0;mv .vim ~/.dotfiles/vim
: 1651308619:0;ln -s -i -v ~/.dotfiles/vim ~/.vim
: 1651308650:0;g add vim
: 1651308677:0;g commit -m "ADDED: vim directory and README.md"
: 1651308813:0;mv ~/Scratch/dotfiles/config/nvim/init.vim ~/.dotfiles/config/nvim/init.vim
: 1651308860:0;g commit -m "ADDED: init.vim resource file for neovim"
: 1651309055:0;g commit -m "ADDED: plug.vim package managment"
: 1651309211:0;g commit -m "ADDED: nvim directory .gitignore file"
: 1651309271:0;g add autoload
: 1651309347:0;g commit -m "ADDED: autoload directory and plug.vim packloader"
: 1651309658:0;g add coc
: 1651309794:0;g commit -m "ADDED: ~/.config/coc node module config files"
: 1651309903:0;g commit -m "ADDED: .gitignore plugged directory"
: 1651309949:0;g add plug.vim
: 1651310107:0;g log --oneline
: 1651310159:0;g show 264b77e
: 1651310374:0;g commit -m "MODIFIED: Plug.vim: removed project.nvim, telescope.nvim, nvim-web-devicons and Colorizer"
: 1651310467:0;mv ftdetect ~/.config/nvim/ftdetect
: 1651310483:0;g add ftdetect
: 1651310603:0;g commit -m "ADDED: Directory: ftdetect. Files: gitcommit.vim, ignore.vim and markdown.vim"
: 1651310668:0;mv colors ~/.config/nvim/colors
: 1651310714:0;g add colors
: 1651310771:0;g commit -m "ADDED: Directory: Colors File: custom-highlight-colors.vim"
: 1651310875:0;mv rubocop ~/.config/rubocop
: 1651310893:0;mv yamllint ~/.config/yamllint
: 1651310908:0;mv yt-dlp ~/.config/yt-dlp
: 1651310937:0;g add rubocop
: 1651310959:0;rm defualt.yml
: 1651310973:0;g status
: 1651311335:0;mv .gitconfig ~/.dotfiles/gitconfig
: 1651311388:0;ln -s -i -v ~/.dotfiles/gitconfig ~/.gitconfig
: 1651311485:0;g add config/rubocop
: 1651311524:0;g commit -m "ADDED: Directory: rubocop File: config.yml"
: 1651311564:0;g add config/yamllint
: 1651311608:0;g commit -m "ADDED: Directory: yamllint File: config"
: 1651311635:0;g add config/yt-dlp
: 1651311683:0;g commit -m "ADDED: Directory: yt-dlp File: config"
: 1651311730:0;rm .gitconfig
: 1651311753:0;mv gitconfig ~/.gitconfig
: 1651311916:0;mv git ~/.config/git
: 1651311976:0;g add config/git/gitignore_global
: 1651312021:0;g commit -m "ADDED: Directory: config > git File: gitignore_global"
: 1651312093:0;g add config/git/git_template
: 1651312118:0;g commit -m "ADDED: Git Hooks for ctags"
: 1651312342:0;v Bootstrap.rb
: 1651312356:0;g add Bootstrap.rb
: 1651312389:0;g commit -m "ADDED: File bootstrap.rb script to create the dotfile sym links"
: 1651312408:0;g add gemrc
: 1651312451:0;g commit -m "ADDED: File: gemrc file. The resource file adds ri documentation to all gems added"
: 1651312510:0;v pryrc
: 1651312526:0;g add pryrc
: 1651312563:0;g commit -m "ADDED: File: pryrc file"
: 1651312572:0;gl
: 1651312670:0;mkd pack/
: 1651312712:0;mkd myplugins
: 1651312720:0;mkd start
: 1651312791:0;g submodule add git@github.com:kien/ctrlp.vim.git
: 1651312816:0;g submodule add git@github.com:vim-airline/vim-airline.git
: 1651312838:0;g submodule add git@github.com:airblade/vim-gitgutter.git
: 1651312860:0;g submodule add git@github.com:preservim/nerdtree.git
: 1651312877:0;g submodule add git@github.com:tpope/vim-commentary.git
: 1651312896:0;g submodule add git@github.com:altercation/vim-colors-solarized.git
: 1651312914:0;../../../
: 1651313051:0;v abbrevs.vim
: 1651313171:0;mkd syntax
: 1651313187:0;v ctrlp.vim
: 1651313220:0;v markdown.vim
: 1651313260:0;v text.vim
: 1651313326:0;v common.vim
: 1651313371:0;mkd ftdetect
: 1651313466:0;g commit -m "ADDED: submodules - ctrlp, nerdtree, vim-airline, vim-colors-solarized, vim-commentary and vim-gutter"
: 1651313528:0;g commit -m "ADDED: vim abbrevs file. Used as a personal spell correction file"
: 1651313547:0;g add ../vimrc
: 1651313570:0;g commit -m "ADDED: vimrc resource file"
: 1651313583:0;g add ../custom-dictionary.utf-8.add
: 1651313617:0;g commit -m "ADDED: File: custom-directory.utf.add"
: 1651313648:0;g add ../abbrevs.vim
: 1651313669:0;g add ../after
: 1651313719:0;g commit -m "ADDED: Directory: after > colors File: common.vim"
: 1651313771:0;g add syntax
: 1651313821:0;g commit -m "ADDED: Directory: syntax Files: ctrlp.vim, markdown.vim, text.vim"
: 1651313838:0;cd .gitmessage
: 1651313844:0;v .gitmessage
: 1651313968:0;mv zsh ~/.dotfiles/zsh
: 1651313993:0;g add zsh
: 1651314116:0;g commit -m "ADDED: Directory: zsh > functions - direcotry of small functions for zsh"
: 1651314250:0;rm -Rf .zsh
: 1651314269:0;rm .zsh_aliases
: 1651314281:0;rm .zshenv
: 1651314290:0;rm .zshrc
: 1651314314:0;v zsh_aliases
: 1651314343:0;ln -s -i -v ~/.dotfiles/zshrc ~/.zshrc
: 1651314399:0;ln -s -i -v ~/.dotfiles/zsh_aliases ~/.zsh_aliases
: 1651314482:0;g add zsh_aliases
: 1651314511:0;g commit -m "ADDED: zsh aliases"
: 1651314560:0;g commit-m "ADDED: zshenv - enviroment variables"
: 1651314572:0;g commit -m "ADDED: zshenv - enviroment variables"
: 1651314600:0;g commit -m "ADDED: zshrc"
: 1651316065:0;../../
: 1651316479:0;g add coc-install.vim
: 1651316523:0;g commit -m "ADDED: coc-install. A list of packages to install"
: 1651316575:0;g commit-m "ADDED: coc-settings. Json configuration file "
: 1651316581:0;g commit -m "ADDED: coc-settings. Json configuration file "
: 1651316821:0;vim coc-install.vim
: 1651316945:0;g show../coc/extensions/package.json
: 1651316957:0;g show ../coc/extensions/package.json
: 1651317301:0;g add config/coc/extensions/package.json
: 1651317335:0;g commit -m "REMOVED: markdownlinter and explorer (nerdtree type)"
: 1651317360:0;g add config/nvim/coc-install.vim
: 1651317390:0;g commit -m "ReMOVE: markdownlinter and explorer"
: 1651317437:0;g acm "ADDED: completion"
: 1651319521:0;cd ftdetect
: 1651319573:0;v gitcommit.vim
: 1651328612:0;==l
: 1651334698:0;man git
: 1651334704:0;man github
: 1651336328:0;v Brewfile
: 1651336603:0;cd .dotfiles/config/nvim
: 1651373245:0;cd blog/app/assets
: 1651375576:0;v .zshrc
: 1651375638:0;git clone https://github.com/shadowchaser04/dotfiles.git
: 1651375648:0;cd dotfiles
: 1651375702:0;../
: 1651375822:0;v zshrc
: 1651375828:0;vim zshrc
: 1651375918:0;ln -s -i -v ~/.dotfiles/zsh ~/.zsh
: 1651376057:0;brew info zsh-autosuggestions
: 1651376147:0;brew infoi zsh-syntax-highlighting
: 1651376648:0;brew info node@16
: 1651376746:0;brew info python@3.10
: 1651376770:0;python3.10
: 1651377677:0;main
: 1651377702:0;crontab -e
: 1651377743:0;g show zshrc
: 1651377849:0;g commit -m "ADDED: source python3.10 and source node@16"
: 1651378645:0;cd /Users/shadowchaser/.config/nvim/plugged/vim-snippets/
: 1651378652:0;cd ultisnips
: 1651379093:0;cd autoload
: 1651379295:0;mkd after
: 1651379303:0;mkd plugin
: 1651389312:0;cd -
: 1651389389:0;which git
: 1651390656:0;which up
: 1651390680:0;cd ~/.zsh/
: 1651390695:0;v up
: 1651392895:0;g commit -m "ADDED: better documentation for zsh resrource file"
: 1651395235:0;lcd
: 1651395328:0;pip3.10 install neovim
: 1651395369:0;pip3.10 install pyx
: 1651395851:0;cd don-wan/app/models
: 1651397102:0;pip3.10 ininsall PyX
: 1651397113:0;pip3.10 uninsall PyX
: 1651397127:0;pip3.10 uninstall PyX
: 1651397314:0;pip3.10 uninstall nvim
: 1651397387:0;pip3.10 uninstall neovim
: 1651397413:0;pip3.10 uninstall greenlet
: 1651397500:0;pip3.10 uninstall msgpack
: 1651397523:0;pip3.10 uninstall pynvim
: 1651397537:0;/usr/local/lib/python3.10/site-packages
: 1651397647:0;cd /Users/shadowchaser/Library/Caches/pip/wheels/a1/cc/3a
: 1651397652:0;rm 030c8e510409f3b6e99679a017335609753a1e403996a90e17
: 1651397660:0;cd 030c8e510409f3b6e99679a017335609753a1e403996a90e17
: 1651397871:0;rm PyX-0.15-py3-none-any.whl
: 1651398091:0;cd 00
: 1651398094:0;cd cc
: 1651398099:0;cd 12
: 1651398104:0;cd e712d3979a4aeee423b34a832d97c803e1a67659060315a7e0
: 1651398175:0;cd 0e/3a/e1/0ccf16162882c3a74e1e442f05c200f5fdc66b7cbab21adcf5
: 1651398230:0;rm -Rf 0ccf16162882c3a74e1e442f05c200f5fdc66b7cbab21adcf5
: 1651398273:0;rm -Rf 0e
: 1651398300:0;rm -Rf 18/ca/58/bf4480c53a36847b3345cbcfa50190beb6f1325ba45d721e26/pynvim-0.4.3-cp37-none-any.whl
: 1651398384:0;rm -Rf 54/bc/ff/dad11c41d24c9a3476743772deda914f551c3dc748cefba10c/neovim-0.3.1-py3-none-any.whl
: 1651398432:0;rm -Rf a1/cc/3a/030c8e510409f3b6e99679a017335609753a1e403996a90e17
: 1651398469:0;rm -Rf 54
: 1651398485:0;rm -Rf 18
: 1651398494:0;rm -Rf a1
: 1651398565:0;rm -Rf b6
: 1651398569:0;cd c5
: 1651398594:0;rm -Rf c5
: 1651398639:0;rm -Rf f6
: 1651398691:0;v selfcheck.json
: 1651398759:0;cd 0
: 1651398767:0;cd 3/d
: 1651398987:0;v 03d556735fd1ec556f65a949bf36ebeeb19a8ceb819ebd788d695a3f
: 1651399360:0;cd 1/8
: 1651399363:0;cd 4
: 1651399373:0;cd d
: 1651399381:0;v 1842d2e0f5eaa52d0f92677726c748104776f8626e8db70baabb79d7
: 1651399431:0;brew uninstall yt-dlp
: 1651399443:0;brew uninstall python@3.10
: 1651399506:0;cd pip
: 1651399596:0;pip3 cache info
: 1651399627:0;python3 -m pip3 cache list
: 1651399723:0;pip3 cache list
: 1651399753:0;rm -Rf pip
: 1651399758:0;mkd pip
: 1651399782:0;cd node-gyp
: 1651399792:0;cd 16.2.0
: 1651399874:0;cd blog/app/models
: 1651399935:0;brew install yt-dlp
: 1651400021:0;cd http
: 1651400033:0;cd 9
: 1651400038:0;cd 5
: 1651400042:0;cd 3
